,Currency,Value
0,USD,1.0
1,AED,3.6725
2,AFN,74.727055
3,ALL,99.158753
4,AMD,402.205304
5,ANG,1.79
6,AOA,836.537186
7,ARS,350.03
8,AUD,1.572893
9,AWG,1.79
10,AZN,1.70044
11,BAM,1.844976
12,BBD,2.0
13,BDT,110.21631
14,BGN,1.844392
15,BHD,0.376
16,BIF,2827.95007
17,BMD,1.0
18,BND,1.36808
19,BOB,6.910072
20,BRL,5.015355
21,BSD,1.0
22,BTN,83.057946
23,BWP,13.798593
24,BYN,3.292635
25,BZD,2.0
26,CAD,1.373031
27,CDF,2514.67226
28,CHF,0.893285
29,CLP,932.673634
30,CNY,7.312497
31,COP,4232.047134
32,CRC,531.646838
33,CUP,24.0
34,CVE,104.01534
35,CZK,23.219714
36,DJF,177.721
37,DKK,7.040936
38,DOP,56.664123
39,DZD,137.117932
40,EGP,30.915165
41,ERN,15.0
42,ETB,55.859642
43,EUR,0.942866
44,FJD,2.275146
45,FKP,0.821186
46,FOK,7.037537
47,GBP,0.821191
48,GEL,2.696829
49,GGP,0.821186
50,GHS,11.930723
51,GIP,0.821186
52,GMD,64.850694
53,GNF,8585.890467
54,GTQ,7.832815
55,GYD,209.181369
56,HKD,7.823278
57,HNL,24.700882
58,HRK,7.107455
59,HTG,133.488806
60,HUF,360.918128
61,IDR,15846.647634
62,ILS,4.057882
63,IMP,0.821186
64,INR,83.057974
65,IQD,1308.267007
66,IRR,41956.187349
67,ISK,138.456636
68,JEP,0.821186
69,JMD,154.806706
70,JOD,0.709
71,JPY,149.838918
72,KES,150.130138
73,KGS,89.270867
74,KHR,4116.745724
75,KID,1.572914
76,KMF,464.083733
77,KRW,1344.237707
78,KWD,0.309093
79,KYD,0.833333
80,KZT,476.65433
81,LAK,20654.392549
82,LBP,15000.0
83,LKR,326.912398
84,LRD,190.076206
85,LSL,19.039012
86,LYD,4.897948
87,MAD,10.296711
88,MDL,18.174867
89,MGA,4527.155647
90,MKD,58.090086
91,MMK,2096.614576
92,MNT,3449.71644
93,MOP,8.057976
94,MRU,38.467675
95,MUR,44.571064
96,MVR,15.451169
97,MWK,1160.943874
98,MXN,18.249386
99,MYR,4.784464
100,MZN,63.87981
101,NAD,19.039012
102,NGN,824.615248
103,NIO,36.608845
104,NOK,11.156498
105,NPR,132.892713
106,NZD,1.711312
107,OMR,0.384497
108,PAB,1.0
109,PEN,3.86512
110,PGK,3.738727
111,PHP,56.76762
112,PKR,279.45089
113,PLN,4.20779
114,PYG,7466.582745
115,QAR,3.64
116,RON,4.672765
117,RSD,110.416424
118,RUB,93.603471
119,RWF,1255.519591
120,SAR,3.75
121,SBD,8.474735
122,SCR,13.191239
123,SDG,576.966739
124,SEK,11.110876
125,SGD,1.36794
126,SHP,0.821186
127,SLE,22.462467
128,SLL,22462.467244
129,SOS,571.746501
130,SRD,38.192133
131,SSP,1030.251036
132,STN,23.111376
133,SYP,12931.311549
134,SZL,19.039012
135,THB,36.169516
136,TJS,10.933311
137,TMT,3.499934
138,TND,3.164299
139,TOP,2.353887
140,TRY,28.121146
141,TTD,6.771168
142,TVD,1.572914
143,TWD,32.260453
144,TZS,2513.358652
145,UAH,36.587473
146,UGX,3765.813997
147,UYU,39.752598
148,UZS,12204.157407
149,VES,35.0278
150,VND,24581.037442
151,VUV,121.264151
152,WST,2.793099
153,XAF,618.778311
154,XCD,2.7
155,XDR,0.759574
156,XOF,618.778311
157,XPF,112.568436
158,YER,250.282115
159,ZAR,19.039045
160,ZMW,21.711263
161,ZWL,5682.77889
